Asso.	N_k^a	$\mathrm{ln}{\alpha }_{k}$ ^b				$\langle \varpi \rangle $ ^c	$\langle \nu \rangle $ ^d	S_spa^e	S_kin^f	Age	Age	
118TAU	10	-17.22	-18.60	-21.37	-22.66	100 +or- 10	14 +or- 2	3.4	2.1	~10	1	
ABDMG	48	-14.11	-15.39	-16.56	-17.60	${30}_{-10}^{+20}$	${10}_{-20}^{+10}$	19.0	1.4	${149}_{-19}^{+51}$	2	
betaPMG	42	-13.57	-14.77	-17.39	-18.24	${30}_{-10}^{+20}$	10 +or- 10	14.8	1.4	24 +or- 3	2	
CAR	7	-13.41	-14.82	-18.45	-19.15	60 +or- 20	20 +or- 2	11.8	0.8	${45}_{-7}^{+11}$	2	
CARN	13	-15.51	-16.85	-17.64	-18.55	30 +or- 20	${15}_{-10}^{+7}$	14.0	2.1	~200	3	
CBER	40	-13.70	-15.09	-22.32	-23.43	${85}_{-5}^{+4}$	-0.1 +or- 0.8	3.6	0.5	${562}_{-84}^{+98}$	4	
COL	23	-13.08	-14.10	-17.74	-18.34	50 +or- 20	${21}_{-8}^{+3}$	15.8	0.9	${42}_{-4}^{+6}$	2	
CRA	12	-17.55	-19.07	-21.89	-22.89	139 +or- 4	-1 +or- 1	1.5	1.7	4-5	5	
EPSC	25	-17.47	-18.59	-22.38	-22.79	102 +or- 4	14 +or- 3	2.8	1.8	${3.7}_{-1.4}^{+4.6}$	6	
ETAC	16	-20.19	-21.36	-25.75	-26.22	95 +or- 1	20 +or- 3	0.6	2.0	11 +or- 3	2	
HYA	177	-20.02	-21.54	-22.14	-23.57	42 +or- 7	${39}_{-4}^{+3}$	4.5	1.2	750 +or- 100	7	
IC2391	16	-18.05	-18.90	-21.55	-21.55	149 +or- 6	15 +or- 3	2.2	1.4	50 +or- 5	8	
IC2602	17	-15.33	-16.60	-22.50	-22.60	146 +or- 5	17 +or- 3	1.8	1.1	${46}_{-5}^{+6}$	9	
LCC	82	-13.13	-14.27	-17.76	-17.77	110 +or- 10	14 +or- 5	11.6	2.2	15 +or- 3	10	
OCT	14	-11.74	-11.56	-13.85	-11.29	${130}_{-20}^{+30}$	${8}_{-9}^{+8}$	22.4	1.3	35 +or- 5	11	
PL8	11	-13.28	-14.54	-19.37	-19.75	130 +or- 10	22 +or- 2	5.0	1.1	~60	12	
PLE	190	-18.72	-20.06	-20.61	-21.46	134 +or- 9	6 +or- 2	4.1	1.4	112 +or- 5	13	
ROPH	186	-17.49	-19.04	-24.10	-25.55	131 +or- 1	-6.3 +or- 0.2	0.7	1.6	< 2	14	
TAU	122	-10.39	-11.37	-17.04	-17.99	120 +or- 10	16 +or- 3	10.7	3.6	1-2	15	
THA	39	-16.48	-17.78	-19.58	-20.25	${46}_{-6}^{+8}$	${9}_{-6}^{+5}$	9.1	0.8	45 +or- 4	2	
THOR	35	-14.05	-15.57	-20.22	-21.12	96 +or- 2	19 +or- 3	3.9	2.1	${22}_{-3}^{+4}$	2	
TWA	23	-16.99	-18.22	-20.42	-20.93	60 +or- 10	10 +or- 3	6.6	1.5	10 +or- 3	2	
UCL	103	-11.70	-13.10	-15.91	-16.19	130 +or- 20	5 +or- 5	17.4	2.5	16 +or- 2	10	
UCRA	10	-15.85	-16.87	-20.24	-20.48	147 +or- 7	-1 +or- 3	4.5	1.8	~10	16	
UMA	9	-23.14	-24.01	-26.44	-27.13	${25.4}_{-0.7}^{+0.8}$	-12 +or- 3	1.2	1.3	414 +or- 23	17	
USCO	84	-12.77	-13.71	-17.62	-17.96	130 +or- 20	-5 +or- 4	9.9	2.8	10 +or- 3	10	
XFOR	11	-19.37	-20.80	-23.43	-23.72	100 +or- 6	19 +or- 2	2.6	1.3	~500	18	
